file,artist,title,lyrics,genre,mood,year
,নজরুল,ঘুমিয়ে গেছে,ঘুমিয়ে গেছে শ্রান্ত হ​য়ে আমার গানের বুলবুলি,নজ্রুল্গিতি,বেদনা,১৯৬৩
,মিনার,দেয়ালে দেয়ালে,বলনা কেন তুমি বহুদূর কেন আমি একা হৃদয়ে ভাঙচুর জানো না তুমি হীনা এ আমার স্বপ্ন মেঘে ঢাকা নামে না রোদ্দুর দেয়ালে দেয়ালে খেয়ালে খেয়ালে হিসেবে বেহিসেবে তোমাকেই খুঁজি ফিরে তুমি আর আসবেনা বুঝি,আধুনিক,বেদনা,২০১৬
,সাবিনা ইয়াসমীন,তুমি যে আমার কবিতা,তুমি যে আমার কবিতা আমার বাঁশীর রাগিনী আমার স্বপন আধ-জাগরণ চিরদিন তোমারে চিনি,আধুনিক,আনন্দ,১৯৯১
,সুমন,বয়্‌স,বয়স তোমার শৈশব ছেলে সুন্দর এই সকাল ধুলোয় তোমার বালুর রাজ্য ভুল শব্দ গান।পকেটে তোমার ভাংতি পয়সা মনের ইচ্ছা লজেন্স তোমার জীবন মিষ্টি বড় স্বপ্ন আজব দেশ,আধুনিক,আনন্দ,২০১২
,বাচ্চু,ফেরারী এই মনটা আমার,ফেরারী এই মনটা আমার মানে না কোনো বাঁধা তোমাকে পাবারই আশায় ফিরে আসে বারেবার কখনো ভাবিনি আমি ব্যথা দিয়ে তুমি চলে যাবে কি জানি কি ভুল ছিল আমার আমাকে কেন গেলে কাঁদিয়ে তাই আমি ফিরে আছি বারেবার যে পথে হারিয়েছি তোমায় সেই পথে খুঁজে আমি যাব অভিমান করে থেকো না অপবাদ দিয়ে,ব্যান্ড,বেদনা,১৯৯৫
,আরাফাত,শত ডানার প্রজাপতি,নতুন ভোর উঠলো সুরে নিলো তোমার ঘুমকে তুলে তখন আমি আলো হয়ে ছুয়ে তোমার কপালে চোখ  খোলে আমায় দেখে আলসেমিতে খুব তুমি অভিমানে কুয়াশা মেখে তোমার ঠোটে লুকোচুরি খেলে গানে,আধুনিক,আনন্দ,২০১৬
,চন্দ্রবিন্দু,বন্ধু তোমায়,ছেড়া ঘুড়ি রঙিন বল এইটুকুই সম্বল আর ছিলো রোদ্দুরে পাওয়া বিকেলবেলা বাজে বকা রাত্রি দিন এসটিরিক্স টিনটিন এলোমেলো কথা উড়ে যেতো হাসির ঠেলায় সে হাসি ছুটে যেতো গোধুলী মিছিলে সবার অলক্ষেতে তুমিও কি ছিলে হাওয়ায় হাওয়ায় হাওয়ায় হাওয়ায়,ব্যান্ড,আনন্দ,২০০২
,শূন্য,শত আশা,কিছু পাবার আশায় স্বপ্নগুলো আজ সত্যির পথে কিছু দেখাবো বলে স্বপ্নগুলো আজ মুক্তির পথে আজ সব পথ পেরিয়ে শত বাধা এড়িয়ে লক্ষ্য খুঁজতে চাই,ব্যান্ড,আনন্দ,২০১১
,নচিকেতা,একদিন স্বপ্নের দিন, বেদনার বর্ণ বিহীন এ জীবনে যেন আসে এমনি স্বপ্নের দিন সেই ভাবনায় ভাবি মনে হয় দুটি নয়নেতে ঘোর বর্ষা নাম আসেনা ফাগুন মনেতে আগুন এমন বিরহ জালায় সৃতির মেলায় কাটেনা আর দিন,সিনেমা,বেদনা,২০০০
,তাহসান,তুমি ছুঁয়ে দিলে,আমি ডানা ছাড়া পাখি তোমার আশায় আশায় থাকি আমি পটে আঁকা ছবি প্রেম তুমি ভালোবাসায় সবই তুমি ছুঁয়ে দিলে মন আমি উড়ব আজীবন,সিনেমা,আনন্দ,২০১৬
 
